year,performance,kind,name,base,comment
1997,1,compute,R10000,340 MFLOPS,http://performance.netlib.org/performance/html/flops_4.data.col0.html
1998,0.7,compute,Pentium II Xeon,,
2002-6,13,compute,Itanium 2,,
2005-7,150,compute,,,
2007-3,280,compute,,,
2007-4,1500,compute,,,
2008,300,compute,,,
2008,600,compute,,,
2008,3000,compute,,,
2009,350,compute,,,
2009,1800,compute,,,
2009,9000,compute,,,
2010,450,compute,,,
2010,2000,compute,,,
2010-10,4500,compute,GTX 580,,
2011,500,compute,,,
2012,1200,compute,,,
2012,9000,compute,,,
2012,14000,compute,,,
2013,1800,compute,,,
2013,7500,compute,,,
2013,24000,compute,,,
2014,4000,compute,,,
2014,16000,compute,K40,,
2015,18000,compute,,,
2016,5000,compute,,,
2016,20000,compute,,,
2016,30000,compute,,,
2016,45000,compute,Radeon Fiji,,
2017,40000,compute,,,
2017,60000,compute,,,
2017-4,500000,compute,TPUv2,,
2017-7,300000,compute,,,
2018-3,1200000,compute,TPUv3,,
2020-7,900000,compute,A100,,
2000,1,memory,DDR,5.6 Gb/s,https://en.wikipedia.org/wiki/List_of_interface_bit_rates
2003-3,1.42,memory,,,DDR2
2004,3.55,memory,GDDR3,,
2007,3,memory,,,DD3
2008,11.42,memory,GDDR5,, 
2015-7,22.85,memory,HBM,,
2016,17.14,memory,,,GDDR5x
2016-7,45.71,memory,HBM2,,
2018,22.85,memory,GDDR6,,
2019-10,82,memory,HBM2e,,
2020-9,30,memory,,,GDDR6x
2003,1,interconnect,PCIe 1.0a,0.25 GB/s,https://en.wikipedia.org/wiki/NVLink
2007,2,interconnect,PCIe 2.0,,
2010-10,4,interconnect,PCIe 3.0,,
2016-10,10,interconnect,NVLink 1.0,,
2017-12,12.5,interconnect,,,NVLink 2.0
2019-1,8,interconnect,PCIe 4.0,,
2020-7,25,interconnect,NVLink 3.0,,
